coefficient,pvalue,var_explained,covar,protein_field
0.0689234183907129,3.3038138175973158e-71,0.01633363840406,Alcohol intake frequency,a1bg
-0.0111094239843976,0.0020937067522392,0.00030820934788571057,Smoking status,a1bg
0.0075204593248061,0.0,0.1133702225301008,% body fat,a1bg
-0.0008481404120491354,0.364916961416952,2.4445456156311492e-05,Hours slept per day,a1bg
0.002770403851167,5.74956468544365e-16,0.0019492622536396,TDI,a1bg
0.0532450062366451,4.07099919575427e-128,0.0171188305568482,Education,a1bg
-0.0229828691161076,1.2711853225923936e-08,0.0017830742858014,Days/week moderate activity,a1bg
-0.004539163557967,0.0,0.0699911300303138,Grip strength,a1bg
-0.0015906585747368,0.004649126144013,0.00023853585689020824,Cooked veg intake,a1bg
-8.307111680059967e-05,0.8698125089764015,7.999314843122028e-07,Raw veg intake,a1bg
0.0010971869554313,0.1118190553281732,7.52885463664414e-05,Fresh fruit intake,a1bg
-0.0020641888433296,0.0012940291156401,0.00030819756736407886,Dried fruit intake,a1bg
0.0401514313680869,7.719702273892007e-24,0.0037947220292316,Oily fish intake,a1bg
0.0333787837353402,1.966994529450655e-09,0.0015131885493292,Non-oily fish intake,a1bg
0.0214582330792082,2.2858192716828835e-15,0.0024924530433949,Processed meat intake,a1bg
0.0196289350619147,5.560782279812936e-05,0.0006469097276600697,Poultry intake,a1bg
0.0105256209437367,0.019729628438404,0.0005513638664557504,Beef intake,a1bg
0.0372115732063296,0.0078430347578443,0.0013981715061054,Lamb intake,a1bg
0.0582614555028964,2.509368291018644e-05,0.0015714536284603,Pork intake,a1bg
-0.0012259108583784,8.360125359257773e-24,0.0030087984834769,Bread intake,a1bg
-0.0004813773929556464,0.1925263132624236,5.056910806827495e-05,Cereal intake,a1bg
0.0003963000891166543,0.4035112805920314,2.0780817742545662e-05,Water intake,a1bg
-0.0436770884066743,6.651230443861498e-07,0.0010783783632224,Alcohol intake frequency,aamdc
-0.032650719379683,0.0013914926461426,0.0007719997289840875,Smoking status,aamdc
0.0038053044997784,2.57868972666558e-26,0.0034362498362421,% body fat,aamdc
-0.0063355951831317,0.021567396739397,0.0001613397887855849,Hours slept per day,aamdc
