coefficient,pvalue,var_explained,covar,disease_field
1.026721222870692,0.0025427338969962,-1,Alcohol intake frequency,p130070
0.7559585206404094,0.4669911330953294,-1,Smoking status,p130070
0.0234484003431636,0.0328191979667002,-1,% body fat,p130070
0.1356742868850231,0.0993277282887057,-1,Hours slept per day,p130070
0.0812716448245732,0.0036606451453058,-1,TDI,p130070
0.445667037698766,0.0455944115341225,-1,Education,p130070
-0.0119051593695066,0.770327417152411,-1,Days/week moderate activity,p130070
-0.0185617845826454,0.0361398708643891,-1,Grip strength,p130070
-0.0223724646110339,0.6907082326186715,-1,Cooked veg intake,p130070
-0.0206736962218946,0.6789023177330409,-1,Raw veg intake,p130070
0.0832196036344511,0.1019539029286742,-1,Fresh fruit intake,p130070
-0.1075390880484798,0.1869844445806512,-1,Dried fruit intake,p130070
0.4196850419934967,0.6832468138988936,-1,Oily fish intake,p130070
-0.95114102789722,0.2010881898030804,-1,Non-oily fish intake,p130070
-0.4156281136705316,0.082637688547446,-1,Processed meat intake,p130070
0.5136973135086881,0.0481102562866068,-1,Poultry intake,p130070
1.4325863179146183,0.0609405964491191,-1,Beef intake,p130070
0.5089108561874446,0.4780392847529444,-1,Lamb intake,p130070
3.1593616973358105,0.0058123273436684,-1,Pork intake,p130070
-0.0189899097326979,0.1209233313690254,-1,Bread intake,p130070
0.0027883194308073,0.9336044749179094,-1,Cereal intake,p130070
0.0708783381104584,0.0524652180349638,-1,Water intake,p130070
1.8885670288978944,0.0292676333071986,-1,Alcohol intake frequency,p130340
-0.7095889610049935,0.3313922423132953,-1,Smoking status,p130340
0.0433203192260445,0.0940293793020439,-1,% body fat,p130340
0.2718290962271698,0.1258098700259291,-1,Hours slept per day,p130340
0.0305567060613755,0.6612480180313816,-1,TDI,p130340
0.1189323573296798,0.8055727446314929,-1,Education,p130340
-0.1492976769093988,0.132689188022352,-1,Days/week moderate activity,p130340
-0.0401449490737456,0.0689394433496098,-1,Grip strength,p130340
-0.0825441471195942,0.5881068880933383,-1,Cooked veg intake,p130340
-0.127219661982357,0.389325573863254,-1,Raw veg intake,p130340
-0.0949971559767151,0.5562596826366767,-1,Fresh fruit intake,p130340
0.0019111015655969,0.9886960168453078,-1,Dried fruit intake,p130340
1.9355782122988572,0.0840340510057951,-1,Oily fish intake,p130340
0.6097878146857235,0.4816099902796378,-1,Non-oily fish intake,p130340
0.7821317460488716,0.2258906209192041,-1,Processed meat intake,p130340
0.8338063863420972,0.2918226729677396,-1,Poultry intake,p130340
2.0830098558331307,0.0514159172998577,-1,Beef intake,p130340
14.6856844407811,0.9882455396508568,-1,Lamb intake,p130340
14.627008394272965,0.9869717529675064,-1,Pork intake,p130340
-0.0332413482467494,0.2798898706566563,-1,Bread intake,p130340
0.1783132452943475,0.019224801232823,-1,Cereal intake,p130340
0.0111461649523273,0.910053298064032,-1,Water intake,p130340
