coefficient,pvalue,covar,disease_field
0.4340407324479208,0.00028448210801341404,Batch,p130070
14.17977355117258,0.9922264260569124,Date,p130070
-0.212257710609439,0.101345376247622,Well,p130070
1.4076171305886085,0.0409735792541966,Plate,p130070
0.0435940899470307,0.2233015703177419,Plate row,p130070
-0.0869741439168008,0.0436086673854919,Plate column,p130070
0.4623812806742609,2.219097821371317e-150,Sex,p130070
0.0704683827309257,0.0,Age,p130070
-0.6599771740621946,2.3083698369883824e-12,Centre,p130070
0.5402948452797468,0.0185736814244769,Batch,p130340
19.56606035400933,0.9985483120620092,Date,p130340
-0.6949547988604108,0.0139426377841634,Well,p130340
20.7743077978492,0.9968856444404716,Plate,p130340
-0.1038425602428944,0.1790345800287097,Plate row,p130340
-0.1818995544446796,0.0466418128532542,Plate column,p130340
0.1674711506203146,5.640249760313495e-06,Sex,p130340
0.0250085986368115,3.3945744244337957e-25,Age,p130340
-1.485506632438818,2.9793441344313183e-10,Centre,p130340
0.4416575732371875,4.0859616506362685e-09,Batch,p130708
14.259213768095677,0.9787530920093376,Date,p130708
-0.2233526219351836,0.0054116769857004,Well,p130708
1.3799377953649712,0.0029727252209678,Plate,p130708
0.0400183544808061,0.0810506496472805,Plate row,p130708
-0.0618446314018293,0.0248330663212799,Plate column,p130708
0.6483176368100686,0.0,Sex,p130708
0.0599830420101371,0.0,Age,p130708
0.5844672745992794,1.2017669340449918e-30,Centre,p130708
0.5985961647894166,0.0074136560297927,Batch,p130718
17.001128071492694,0.9987386158529314,Date,p130718
0.6610194387948702,0.0078206880655884,Well,p130718
19.77431649783291,0.9951125541827464,Plate,p130718
0.1007917135156635,0.1264184712342815,Plate row,p130718
-0.0992754805040829,0.2191046150304381,Plate column,p130718
0.4177289043624861,1.4054585036135485e-36,Sex,p130718
0.0584493436962101,3.254402977832224e-137,Age,p130718
0.7781076113447672,8.234433392092306e-08,Centre,p130718
-0.7757400876799528,0.0422724058435699,Batch,p130722
17.621640508303603,0.999207003474254,Date,p130722
0.5230872401281402,0.0634378020102123,Well,p130722
20.774291033133878,0.9968856817184536,Plate,p130722
0.1032126287247847,0.2398316629747577,Plate row,p130722
-0.1824196396690365,0.0817091154563128,Plate column,p130722
-0.9513456389707752,5.3136622752842456e-83,Sex,p130722
0.0526992507706763,1.7294811597125895e-69,Age,p130722
-0.4217125689495087,0.0200993310162356,Centre,p130722
-0.494500031238448,0.0620762596600823,Batch,p130770
18.179764406247845,0.9986511643915628,Date,p130770
0.4218271021587365,0.0528050166474739,Well,p130770
20.46745251511889,0.9949413123572922,Plate,p130770
0.122329779949197,0.0720794737067682,Plate row,p130770
-0.1435704928735284,0.077898587801329,Plate column,p130770
-0.0230790478268518,0.4876204916758969,Sex,p130770
0.048859345576349,3.319365940360786e-100,Age,p130770
1.6856342946749765,3.647430442045737e-12,Centre,p130770
0.372755333210545,0.0637378021503157,Batch,p130774
